apt_seq	area_type	area_type_source	floor_band	jeonse_level	jeonse_per_m2_adj	jeonse_n_trades	jeonse_months_since	is_move_in_period	jeonse_over_sale_ratio_gt1	est_price_per_m2	est_low	est_high	est_confidence
11140-1139	15.000000	RENT	HIGH	RENT_CELL	1115.723448	24.000000	2.000000	0.000000	True	926.123728	820.718308	1178.371489	LOW
11140-1139	15.000000	RENT	LOW	RENT_CELL	1115.723448	24.000000	2.000000	0.000000	True	899.193003	796.852663	1144.105658	LOW
11140-1139	15.000000	RENT	MID	RENT_CELL	1115.723448	24.000000	2.000000	0.000000	True	918.734768	814.170311	1168.970002	LOW
11140-1139	18.000000	RENT	HIGH	RENT_CELL	1111.879117	31.000000	1.000000	0.000000	True	938.608316	831.781980	1194.256496	MEDIUM
11140-1139	18.000000	RENT	LOW	RENT_CELL	1111.879117	31.000000	1.000000	0.000000	True	911.314552	807.594616	1159.528746	MEDIUM
11140-1139	18.000000	RENT	MID	RENT_CELL	1111.879117	31.000000	1.000000	0.000000	True	931.119749	825.145714	1184.728273	MEDIUM
11140-1170	15.000000	RENT	UNKNOWN	RENT_CELL	1069.033286	1.000000	50.000000	0.000000	True	854.141286	756.928442	1086.783232	LOW
11140-1170	18.000000	RENT	UNKNOWN	RENT_CELL	941.149058	9.000000	8.000000	0.000000	True	815.402390	722.598557	1037.493047	LOW
11140-1170	21.000000	RENT	UNKNOWN	RENT_CELL	784.045245	1.000000	20.000000	0.000000	False	849.361341	752.692520	1080.701377	LOW
11140-1170	24.000000	RENT	UNKNOWN	RENT_CELL	899.381265	1.000000	42.000000	0.000000	False	918.135979	813.639672	1168.208120	LOW
11140-1182	15.000000	RENT	HIGH	RENT_CELL	979.422731	8.000000	6.000000	0.000000	True	692.987345	614.116002	881.735890	LOW
11140-1182	15.000000	RENT	MID	RENT_CELL	979.422731	8.000000	6.000000	0.000000	True	686.201356	608.102350	873.101605	LOW
11140-1182	18.000000	RENT	HIGH	RENT_CELL	827.063336	4.000000	28.000000	0.000000	True	563.690372	499.534775	717.222378	LOW
11140-1182	39.000000	RENT	HIGH	RENT_CELL	800.189817	3.000000	5.000000	0.000000	True	788.192914	698.485888	1002.872542	LOW
11140-1182	39.000000	RENT	MID	RENT_CELL	800.189817	3.000000	5.000000	0.000000	True	783.212280	694.072117	996.535336	LOW
11140-1506	33.000000	RENT	HIGH	RENT_CELL	176.463182	33.000000	8.000000	0.000000	False	1059.535331	938.945864	1348.120329	LOW
11140-1506	33.000000	RENT	LOW	RENT_CELL	176.463182	33.000000	8.000000	0.000000	False	1061.045461	940.284121	1350.041773	LOW
11140-1506	33.000000	RENT	MID	RENT_CELL	176.463182	33.000000	8.000000	0.000000	False	1070.503899	948.666060	1362.076400	LOW
11140-18	57.000000	BOTH	UNKNOWN	RENT_CELL	735.247513	3.000000	26.000000	0.000000	False	926.831674	821.345679	1179.272257	LOW
11140-18	60.000000	BOTH	UNKNOWN	RENT_CELL	818.347251	6.000000	12.000000	0.000000	False	1144.905008	1014.599315	1456.742093	LOW
11140-18	114.000000	BOTH	UNKNOWN	RENT_CELL	401.739874	1.000000	11.000000	0.000000	False	633.388760	561.300543	805.904474	LOW
11140-20	156.000000	SALE	UNKNOWN	SALE_CELL				0.000000	False	829.787621	735.346554	1055.796374	LOW
11140-21	30.000000	BOTH	UNKNOWN	RENT_CELL	589.760706	20.000000	4.000000	0.000000	False	1189.738230	1054.329910	1513.786513	LOW
11140-21	33.000000	RENT	UNKNOWN	RENT_CELL	498.680779	2.000000	9.000000	0.000000	False	908.192313	804.827730	1155.556105	LOW
11140-21	63.000000	BOTH	UNKNOWN	RENT_CELL	336.670961	7.000000	4.000000	0.000000	False	827.022978	732.896565	1052.278727	LOW
11140-23	66.000000	RENT	HIGH	RENT_CELL	509.941970	1.000000	17.000000	0.000000	False	804.857818	713.254100	1024.076456	LOW
11140-23	69.000000	RENT	HIGH	RENT_CELL	473.727435	2.000000	34.000000	0.000000	False	786.896097	697.336666	1001.222511	LOW
11140-23	84.000000	BOTH	MID	RENT_CELL	416.269858	1.000000	5.000000	0.000000	False	718.622633	636.833647	914.353446	LOW
11140-24	69.000000	RENT	HIGH	RENT_CELL	471.295750	1.000000	11.000000	0.000000	False	765.956785	678.780532	974.579972	LOW
11140-24	75.000000	RENT	HIGH	RENT_CELL	320.097593	1.000000	30.000000	0.000000	False	740.328035	656.068680	941.970735	LOW
11140-24	78.000000	RENT	HIGH	RENT_CELL	383.578837	2.000000	30.000000	0.000000	False	720.991600	638.932993	917.367647	LOW
11140-24	90.000000	RENT	HIGH	RENT_CELL	74.846993	1.000000	6.000000	0.000000	False	738.229292	654.208803	939.300359	LOW
11140-308	66.000000	RENT	UNKNOWN	RENT_CELL	834.285252	1.000000	8.000000	0.000000	False	1040.035029	921.664960	1323.308742	LOW
