aptSeq	apt_name	umd_name	jibun	build_year	n_trades	name_key	osm_id	name	osm_build_year	osm_n_dong
11680-416	현대2차(10,11,20,23,24,25동)	압구정동	369-1	1976.0	8	현대2차101120232425동				
11680-417	현대3차(61~64동)	압구정동	443	1976.0	6	현대3차6164동	432735931.0		1976.0	4.0
11680-418	현대4차저층(51~56동)	압구정동	462	1977.0	3	현대4차저층5156동				
11680-419	현대5차(71,72동)	압구정동	455	1977.0	6	현대5차7172동	432735925.0		1979.0	6.0
11680-4197	삼성동라테라스	삼성동	110-2	2013.0	1	삼성동라테라스				
11680-4199	강남엘에이치1단지	세곡동	579	2013.0	28	강남엘에이치1단지				
11680-420	현대6차(78~81,83,84,86,87동)	압구정동	456	1978.0	5	현대6차788183848687동				
11680-4202	한양수자인어반게이트	논현동	221-7	2013.0	2	한양수자인어반게이트				
11680-421	현대7차(73~77,82,85동)	압구정동	456	1979.0	4	현대7차73778285동				
11680-422	현대8차(성수현대:91~95동)	압구정동	481	1980.0	12	현대8차성수현대9195동				
11680-423	신현대9차	압구정동	426	1982.0	14	신현대9차				
11680-425	신현대11차	압구정동	433	1983.0	18	신현대11차				
11680-426	신현대12차	압구정동	434	1982.0	22	신현대12차	432735924.0		1976.0	13.0
11680-427	현대13차(208~211동)	압구정동	448	1983.0	4	현대13차208211동	432735929.0		1983.0	4.0
11680-428	현대14차(203,204,205,206동)	압구정동	447	1987.0	9	현대14차203204205206동	432735928.0		1987.0	3.0
11680-4284	청담신원아침도시마인	청담동	122-35	2013.0	5	청담신원아침도시마인	357020128.0	청담신원아침도시마인		
11680-4291	래미안청담로이뷰	청담동	134	1992.0	7	래미안청담로이뷰				
11680-4293	래미안대치하이스턴	대치동	985	1989.0	3	래미안대치하이스턴				
11680-4297	래미안포레	자곡동	687	2014.0	6	래미안포레	392455561.0		2020.0	32.0
11680-4298	강남한양수자인(4단지)	자곡동	686	2014.0	19	강남한양수자인4단지	545594433.0		2014.0	26.0
11680-431	비쥬힐	논현동	39-10	2003.0	1	비쥬힐				
11680-433	필로스(193-45)	도곡동	193-45	2004.0	1	필로스19345				
11680-4332	강남자곡아이파크	자곡동	602	2014.0	17	강남자곡아이파크				
11680-434	LG선릉에클라트(A)	삼성동	142-7	2003.0	6	lg선릉에클라트a				
11680-4341	강남브리즈힐(토지임대부아파트)	자곡동	618	2014.0	18	강남브리즈힐토지임대부				
11680-435	우성리빙텔	도곡동	467-10	1996.0	2	우성리빙텔				
11680-436	연세리버테라스	청담동	102	2003.0	1	연세리버테라스				
11680-4364	청담스위트	청담동	34-13	2015.0	2	청담스위트				
11680-4375	강남자곡 힐스테이트	자곡동	619	2015.0	58	강남자곡힐스테이트				
11680-439	은탑리더스카운티	논현동	44-6	2003.0	2	은탑리더스카운티				
11680-4394	래미안대치팰리스	대치동	1027	2015.0	30	래미안대치팰리스				
11680-442	월드쉐르빌	논현동	138-9	2003.0	1	월드쉐르빌				
11680-447	한양팰리스	대치동	941-13	2004.0	1	한양팰리스				
11680-4474	한라비발디	도곡동	972	2016.0	1	한라비발디				
11680-449	상지리츠빌	개포동	176-1	2003.0	1	상지리츠빌	976267586.0	상지리츠빌		
11680-452	우찬	신사동	550-20	2004.0	2	우찬				
11680-4542	현대썬앤빌테헤란	대치동	894	2016.0	3	현대썬앤빌테헤란				
11680-459	프리마빌	역삼동	727-11	2003.0	2	프리마빌				
11680-46	상지리츠빌6	청담동	106-1	2002.0	1	상지리츠빌6	976267586.0			
11680-463	노블카운티	역삼동	794-24	2003.0	2	노블카운티				
11680-4637	대치SKVIEW	대치동	1029	2017.0	1	대치skview				
11680-4643	청담디에브스아파트	청담동	62-6	2017.0	1	청담디에브스				
11680-4655	프리빌리지	역삼동	723-16	2017.0	1	프리빌리지				
11680-4667	동원스위트뷰역삼	역삼동	745-13	2017.0	1	동원스위트뷰역삼				
11680-467	지고하임(102동)	논현동	44-9	2003.0	3	지고하임102동				
11680-470	타워팰리스3	도곡동	467-29	2004.0	10	타워팰리스3				
11680-471	하이페리온	도곡동	968	2004.0	3	하이페리온	379417121.0		2004.0	2.0
11680-4718	삼성동센트럴아이파크	삼성동	188	2018.0	9	삼성동센트럴아이파크	475032127.0		2018.0	4.0
11680-472	아이파크	삼성동	87	2004.0	13	아이파크				
11680-4730	더원센트럴	논현동	118-8	2018.0	1	더원센트럴				
