osm_id	name	levels_raw	height_raw	flats_raw	start_date	district	subdistrict	levels	height	flats	built_year	levels_filled	height_filled	building_area_m2	complex_osm_id	complex_name
192743522	사우스윙	45	198	151	2004	강남구	삼성동	45.0	198.0	151	2004	45.0	198.0	1110.9879177067796	614498553.0	삼성동현대아이파크아파트
192743526	62동	12		50	1976	강남구	압구정동	12.0		50	1976	12.0	33.599999999999994	793.4616994218729	432735931.0	현대3차아파트
192743528	64동	12		50	1976	강남구	압구정동	12.0		50	1976	12.0	33.599999999999994	793.4639125009239	432735931.0	현대3차아파트
192743530	109동	21	51	38	2007	강남구	삼성동	21.0	51.0	38	2007	21.0	51.0	371.0948504132642	313652588.0	롯데캐슬프레미어아파트
192743532	101동	20	57	39	2007	강남구	삼성동	20.0	57.0	39	2007	20.0	57.0	434.9111530832878	313652588.0	롯데캐슬프레미어아파트
192760470	대림아크로빌	14	40	56	1979	강남구	압구정동	14.0	40.0	56	1979	14.0	40.0	1327.60393630042		
192760472	76동	14		56	1979	강남구	압구정동	14.0		56	1979	14.0	39.199999999999996	1064.1802381575824	432735925.0	현대5차아파트
192760473	75동	14		84	1979	강남구	압구정동	14.0		84	1979	14.0	39.199999999999996	1040.016095120099	432735925.0	현대5차아파트
192760478	85동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	1292.88868420578	432735930.0	현대6,7차아파트압구
192760483	74동	14		84	1979	강남구	압구정동	14.0		84	1979	14.0	39.199999999999996	916.8361296569776	432735925.0	현대5차아파트
192760487	80동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	1324.8097903551616	432735930.0	현대6,7차아파트압구
192760490	84동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	909.3238412577805	432735930.0	현대6,7차아파트압구
192760493	73동	14		84	1979	강남구	압구정동	14.0		84	1979	14.0	39.199999999999996	916.4713216481363	432735925.0	현대5차아파트
192760497	77동	14		84	1979	강남구	압구정동	14.0		84	1979	14.0	39.199999999999996	1040.097436654282	432735930.0	현대6,7차아파트압구
192760500	79동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	1337.1343840193388	432735930.0	현대6,7차아파트압구
192760502	83동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	909.2587318746354	432735930.0	현대6,7차아파트압구
192760504	86동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	1068.9111890570246	432735930.0	현대6,7차아파트압구
192760507	78동	14		84	1978	강남구	압구정동	14.0		84	1978	14.0	39.199999999999996	1019.5694284909945	432735930.0	현대6,7차아파트압구
192760510	82동	14		84	1979	강남구	압구정동	14.0		84	1979	14.0	39.199999999999996	1068.7568286193878	432735930.0	현대6,7차아파트압구
192760512	87동	14		112	1978	강남구	압구정동	14.0		112	1978	14.0	39.199999999999996	1224.8448681768084	432735930.0	현대6,7차아파트압구
192760515	81동	14		112	1978	강남구	압구정동	14.0		112	1978	14.0	39.199999999999996	1246.708631277583	432735930.0	현대6,7차아파트압구
192760520	56동	5		30	1977	강남구	압구정동	5.0		30	1977	5.0	14.0	780.1093095106287	432735926.0	현대4차아파트
192760521	54동	5		20	1977	강남구	압구정동	5.0		20	1977	5.0	14.0	526.2508529258578	432735926.0	현대4차아파트
192760522	52동	5		30	1977	강남구	압구정동	5.0		30	1977	5.0	14.0	747.9016583256279	432735926.0	현대4차아파트
192760523	51동	5		30	1977	강남구	압구정동	5.0		30	1977	5.0	14.0	810.6300482294332	432735926.0	현대4차아파트
192760524	55동	5		30	1977	강남구	압구정동	5.0		30	1977	5.0	14.0	817.3012734391843	432735926.0	현대4차아파트
192760526	53동	5		30	1977	강남구	압구정동	5.0		30	1977	5.0	14.0	772.5569353804916	432735926.0	현대4차아파트
192760528	71동	14		112	1977	강남구	압구정동	14.0		112	1977	14.0	39.199999999999996	883.9324069158978	432735925.0	현대5차아파트
192760530	72동	14		112	1977	강남구	압구정동	14.0		112	1977	14.0	39.199999999999996	882.9124607557047	432735925.0	현대5차아파트
193180200	211동	13		65	1983	강남구	압구정동	13.0		65	1983	13.0	36.4	576.0151459134173	432735929.0	현대13차아파트
193180202	210동	13		52	1983	강남구	압구정동	13.0		52	1983	13.0	36.4	452.4604944271725	432735929.0	현대13차아파트
193180206	204동	13		78	1987	강남구	압구정동	13.0		78	1987	13.0	36.4	661.809320332208	432735928.0	현대14차아파트
193180208	23동	12		48	1976	강남구	압구정동	12.0		48	1976	12.0	33.599999999999994	697.3522191411569	432735924.0	현대1,2차아파트
193180209	203동	13		52	1987	강남구	압구정동	13.0		52	1987	13.0	36.4	452.0033043256576	432735928.0	현대14차아파트
193180210	201동	12		48	1982	강남구	압구정동	12.0		48	1982	12.0	33.599999999999994	655.5431460749336	432735927.0	현대10차아파트
193180211	13동	15		60	1976	강남구	압구정동	15.0		60	1976	15.0	42.0	843.3696090947783	432735924.0	현대1,2차아파트
193180212	12동	15		60	1976	강남구	압구정동	15.0		60	1976	15.0	42.0	818.2892154045658	432735924.0	현대1,2차아파트
193180213	20동	12		72	1976	강남구	압구정동	12.0		72	1976	12.0	33.599999999999994	1030.0167979442726	432735924.0	현대1,2차아파트
193180214	24동	15		90	1976	강남구	압구정동	15.0		90	1976	15.0	42.0	1076.9980000879334	432735924.0	현대1,2차아파트
193180215	11동	15		90	1976	강남구	압구정동	15.0		90	1976	15.0	42.0	1305.8658499939727	432735924.0	현대1,2차아파트
193180216	25동	15		90	1976	강남구	압구정동	15.0		90	1976	15.0	42.0	1019.1708674742767	432735924.0	현대1,2차아파트
193180217	10동	15		90	1976	강남구	압구정동	15.0		90	1976	15.0	42.0	1280.2845700507726	432735924.0	현대1,2차아파트
193180218	22동	12		72	1976	강남구	압구정동	12.0		72	1976	12.0	33.599999999999994	1053.1223385612864	432735924.0	현대1,2차아파트
193180219	21동	12		72	1976	강남구	압구정동	12.0		72	1976	12.0	33.599999999999994	1053.1928470043194	432735924.0	현대1,2차아파트
193180220		11	33	19	1996	강남구	압구정동	11.0	33.0	19	1996	11.0	33.0	438.52447653522813		
193180223		11	35	19	1998	강남구	압구정동	11.0	35.0	19	1998	11.0	35.0	485.4823890558931		
193180226	202동	12		96	1982	강남구	압구정동	12.0		96	1982	12.0	33.599999999999994	838.0006783659394	432735927.0	현대10차아파트
193180230	205동	15		90	1987	강남구	압구정동	15.0		90	1987	15.0	42.0	726.419224022063	432735928.0	현대14차아파트
193180233	31동	12		72	1976	강남구	압구정동	12.0		72	1976	12.0	33.599999999999994	815.2154961093897	432735924.0	현대1,2차아파트
193180234	33동	12		72	1976	강남구	압구정동	12.0		72	1976	12.0	33.599999999999994	871.8015091155198	432735924.0	현대1,2차아파트
193180236	208동	13		52	1984	강남구	압구정동	13.0		52	1984	13.0	36.4	451.20631634992276	432735929.0	현대13차아파트
193180237	209동	13		65	1983	강남구	압구정동	13.0		65	1983	13.0	36.4	574.4757807092301	432735929.0	현대13차아파트
193180238	32동	12		72	1976	강남구	압구정동	12.0		72	1976	12.0	33.599999999999994	836.6252684784884	432735924.0	현대1,2차아파트
194285958	206	19	52	70	2006	강남구	역삼동	19.0	52.0	70	2006	19.0	52.0	749.8449789572933	510394410.0	역삼 아이파크
194285959		15	41	28	2007	강남구	역삼동	15.0	41.0	28	2007	15.0	41.0	505.0365886915394	510394405.0	래미안 펜타빌
194285960	207	17	46	51	2006	강남구	역삼동	17.0	46.0	51	2006	17.0	46.0	632.1445413275411	510394410.0	역삼 아이파크
194285961		24	66	80	2007	강남구	역삼동	24.0	66.0	80	2007	24.0	66.0	888.9555674504778	510394405.0	래미안 펜타빌
194286589	205	16	44	45	2006	강남구	역삼동	16.0	44.0	45	2006	16.0	44.0	682.9008323483228	510394410.0	역삼 아이파크
194454525	106동	22	60	80	2006	강남구	역삼동	22.0	60.0	80	2006	22.0	60.0	679.9245328319179	548803577.0	개나리 래미안아파트
194454526	101동	20	52	74	2006	강남구	역삼동	20.0	52.0	74	2006	20.0	52.0	1018.6752354871549	548803577.0	개나리 래미안아파트
194454528	105동	13	29	44	2006	강남구	역삼동	13.0	29.0	44	2006	13.0	29.0	606.8346742738278	548803577.0	개나리 래미안아파트
194454529	107동	17	43	55	2006	강남구	역삼동	17.0	43.0	55	2006	17.0	43.0	516.9457233997875	548803577.0	개나리 래미안아파트
220545877	101동	13		161	1997	강남구	논현동	13.0		161	1997	13.0	36.4	1657.1004191215393	559600505.0	논현신동아파밀리에아파트
220545878	106동	13		88	1997	강남구	논현동	13.0		88	1997	13.0	36.4	1068.2841827730822	559600505.0	논현신동아파밀리에아파트
220545879	105동	13		100	1997	강남구	논현동	13.0		100	1997	13.0	36.4	953.8717272149373	559600505.0	논현신동아파밀리에아파트
220545880	102동	13		101	1997	강남구	논현동	13.0		101	1997	13.0	36.4	862.9253417283569	559600505.0	논현신동아파밀리에아파트
220545881	103동	13		100	1997	강남구	논현동	13.0		100	1997	13.0	36.4	865.101767686204	559600505.0	논현신동아파밀리에아파트
220545882	104동	13		96	1997	강남구	논현동	13.0		96	1997	13.0	36.4	1370.671664304784	559600505.0	논현신동아파밀리에아파트
232516191	서초예성그린캐슬아파트	7	17			서초구	서초동	7.0	17.0			7.0	17.0	450.44195665133		
250786416	송파한화오벨리스크	15	54	1532	2013	송파구	문정동	15.0	54.0	1532	2013	15.0	54.0	4597.626766508865		
264753407	35동	13		78	1978	강남구	압구정동	13.0		78	1978	13.0	36.4	757.2198426438438	471726187.0	압구정한양3차아파트
264753408	42동	13		52	1978	강남구	압구정동	13.0		52	1978	13.0	36.4	970.7561374669342	471724684.0	압구정한양4차아파트
264753409	43동	13		52	1978	강남구	압구정동	13.0		52	1978	13.0	36.4	935.5439851910312	471724684.0	압구정한양4차아파트
264753411	95동	12		120	1980	강남구	압구정동	12.0		120	1980	12.0	33.599999999999994	1188.7733696756163	471724556.0	압구정현대8차아파트
264753413	45동	13		91	1978	강남구	압구정동	13.0		91	1978	13.0	36.4	790.9135154664036	471724684.0	압구정한양4차아파트
264753414	94동	12		120	1980	강남구	압구정동	12.0		120	1980	12.0	33.599999999999994	1188.8277326000245	471724556.0	압구정현대8차아파트
