apt_seq	area_type	deal_ym	n_trades	median_price_per_m2
11110-2223	150.0	202607	1	1051.4018691588785
11110-2224	60.0	202109	1	1623.8317757009345
11110-2224	60.0	202110	1	1502.0026702269693
11110-2224	60.0	202202	1	1585.4472630173564
11110-2224	60.0	202203	1	1498.6648865153538
11110-2224	60.0	202309	1	1401.8691588785045
11110-2224	60.0	202403	1	1330.1068090787717
11110-2224	60.0	202406	1	1418.5580774365822
11110-2224	60.0	202407	2	1351.8024032042722
11110-2224	60.0	202411	1	1435.2469959946595
11110-2224	60.0	202412	1	1426.9025367156207
11110-2224	60.0	202503	1	1451.935914552737
11110-2224	60.0	202504	2	1443.591455273698
11110-2224	60.0	202505	1	1468.6248331108143
11110-2224	60.0	202506	2	1476.969292389853
11110-2224	60.0	202507	2	1431.0747663551401
11110-2224	60.0	202508	2	1489.4859813084113
11110-2224	60.0	202509	2	1497.83044058745
11110-2224	60.0	202510	2	1556.2416555407208
11110-2224	60.0	202602	1	1693.9252336448599
11110-2224	60.0	202604	2	1746.4953271028037
11110-2224	60.0	202605	3	1735.6475300400534
11110-2224	60.0	202607	2	1885.8477970627503
11110-2224	60.0	202608	1	1860.814419225634
11110-2224	84.0	202201	1	1283.5609985869053
11110-2224	84.0	202310	1	1207.0183702308054
11110-2224	84.0	202401	1	1118.699952896844
11110-2224	84.0	202403	1	1130.4757418747056
11110-2224	84.0	202411	2	1260.0094206311824
11110-2224	84.0	202506	2	1251.1775788977861
11110-2224	84.0	202510	1	1342.4399434762129
11110-2224	84.0	202512	3	1324.7762600094206
11110-2224	84.0	202602	1	1318.8883655204897
11110-2224	84.0	202604	2	1389.543099387659
11110-2224	84.0	202607	1	1471.9736222326896
11110-2224	114.0	202310	1	1133.687974186797
11110-2224	114.0	202409	1	1046.4812069416587
11110-2224	114.0	202506	1	1124.967297462283
11110-2224	114.0	202509	1	1103.1656056509985
11110-2234	60.0	202110	1	1618.2147587859051
11110-2234	60.0	202111	1	1626.5560719755233
11110-2234	60.0	202204	1	1534.8016268897245
11110-2234	60.0	202207	1	1418.0232422350716
11110-2234	60.0	202212	1	1217.8317256842379
11110-2234	60.0	202302	2	1217.8317256842379
11110-2234	60.0	202308	1	1334.610110338891
11110-2234	60.0	202309	1	1301.2448575804187
11110-2234	60.0	202310	1	1342.951423528509
11110-2234	60.0	202311	1	1334.610110338891
11110-2234	60.0	202401	1	1334.610110338891
11110-2234	60.0	202403	1	1317.9274839596549
11110-2234	60.0	202406	1	1351.2927367181271
11110-2234	60.0	202407	2	1384.6579894765991
11110-2234	60.0	202409	1	1251.1969784427101
11110-2234	60.0	202410	1	1317.9274839596549
11110-2234	60.0	202502	2	1374.6484136490576
11110-2234	60.0	202505	1	1326.2687971492728
11110-2234	60.0	202507	1	1421.3597675109188
11110-2234	60.0	202508	1	1418.0232422350716
11110-2234	60.0	202509	1	1409.6819290454534
11110-2234	60.0	202510	1	1367.9753630973632
11110-2234	60.0	202602	1	1601.532132406669
11110-2234	60.0	202604	1	1598.1956071308218
11110-2234	60.0	202605	1	1568.1668796481968
11110-2234	60.0	202606	1	1734.9931434405582
11110-2234	60.0	202607	3	1418.0232422350716
11110-2234	60.0	202608	1	1760.0170830094123
11110-2234	84.0	202205	1	1377.3164225559697
11110-2234	84.0	202305	1	1177.1935235521107
11110-2234	84.0	202308	1	1183.0794911698713
11110-2234	84.0	202312	1	1159.5356206988292
11110-2234	84.0	202401	1	1192.4970393582882
11110-2234	84.0	202404	1	1177.1935235521107
11110-2234	84.0	202405	2	1192.4970393582882
11110-2234	84.0	202407	4	1168.36457212547
11110-2234	84.0	202408	1	1200.737394023153
11110-2234	84.0	202504	1	1224.2812644941953
11110-2234	84.0	202510	1	1253.711102582998
11110-2234	84.0	202512	1	1347.8865844671668
11110-2234	84.0	202601	1	1294.912875907322
11110-2234	84.0	202603	1	1324.3427139961248
11110-2234	114.0	202204	1	1059.1438108081486
11110-2234	114.0	202410	1	1046.0679612919985
11110-2234	114.0	202602	1	1133.240291399665
11110-2246	192.0	202401	1	704.1335245794759
11110-2246	192.0	202509	1	1048.5312698237944
11110-2246	192.0	202604	1	901.7368920484631
11110-2246	201.0	202409	1	1073.223814586859
11110-2246	201.0	202606	1	1003.3394731719005
11110-2246	219.0	202403	1	1001.0237743146399
11110-2246	219.0	202412	1	1055.6250710954384
11110-2246	219.0	202509	1	1023.7743146399727
11110-2246	219.0	202601	1	962.529860084177
11110-2246	225.0	202409	1	996.2055636973837
11110-2246	225.0	202509	1	1018.3434651128812
11110-2246	240.0	202409	1	950.355441308225
11110-2246	240.0	202602	1	905.9060313006297
11110-2261	201.0	202504	1	499.52545082171935
11110-2261	207.0	202409	1	528.5617301910581
11110-2261	213.0	202209	1	442.72304876331725
11110-2261	213.0	202407	1	492.7957948092176
11110-2261	213.0	202409	1	624.2080067583423
11110-2261	213.0	202501	1	567.8884873515747
11110-2261	237.0	202112	1	571.8642775447961
11110-2261	237.0	202209	1	449.34129707290214
11110-2261	237.0	202312	1	482.9076121489389
11110-2261	237.0	202505	1	593.044435972381
11110-2291	21.0	202111	1	638.1039197812215
11110-2291	21.0	202201	1	608.9309878213802
11110-2291	21.0	202205	1	729.2616226071102
11110-2291	21.0	202208	1	729.2616226071102
11110-2291	21.0	202211	1	697.3564266180492
11110-2291	21.0	202302	1	774.8404740200547
11110-2291	21.0	202306	1	694.6323861073522
11110-2291	21.0	202307	1	604.4203879115922
11110-2291	21.0	202309	1	674.3346865133062
11110-2291	21.0	202401	2	769.7408645960669
11110-2291	21.0	202502	1	793.0720145852324
11110-2291	21.0	202508	1	638.1039197812215
11110-2291	21.0	202601	1	599.9097880018041
11110-2291	21.0	202603	2	711.5471357690571
11110-2292	84.0	202204	1	666.6666666666666
11110-2292	84.0	202410	1	836.3201911589008
11110-2292	84.0	202507	1	817.4386920980927
11110-2292	102.0	202506	1	607.031857031857
11110-2292	108.0	202109	1	690.5158069883527
11110-2301	33.0	202401	1	1155.2132701421801
11110-2301	63.0	202404	1	888.9582033686836
11110-2322	15.0	202109	1	847.5153165418652
11110-2322	15.0	202112	1	700.0
11110-2322	15.0	202201	1	680.0
11110-2322	15.0	202205	1	816.8822328114363
11110-2322	15.0	202206	1	987.0660313138189
11110-2322	15.0	202207	1	813.3333333333334
11110-2322	15.0	202209	1	833.3333333333334
11110-2322	15.0	202309	1	748.8087134104834
11110-2322	15.0	202310	1	683.3333333333334
11110-2322	15.0	202311	1	748.8087134104834
11110-2322	15.0	202404	2	728.3866575901975
11110-2322	15.0	202405	1	728.3866575901974
11110-2322	15.0	202407	1	680.7351940095303
11110-2322	15.0	202412	1	762.4234172906739
11110-2322	18.0	202110	1	779.8440311937611
11110-2322	18.0	202111	1	611.8776244751049
11110-2322	18.0	202112	1	653.869226154769
11110-2322	18.0	202206	3	869.8260347930413
11110-2322	18.0	202208	1	779.8440311937611
11110-2322	18.0	202209	1	779.8440311937611
11110-2322	18.0	202210	1	809.8380323935212
11110-2322	18.0	202309	2	719.8560287942411
11110-2322	18.0	202312	1	647.870425914817
11110-2322	18.0	202403	1	737.8524295140971
11110-2322	18.0	202408	1	719.8560287942411
11110-2322	18.0	202411	1	689.862027594481
11110-2322	18.0	202502	1	599.8800239952009
11110-2322	18.0	202503	1	671.865626874625
11110-2322	18.0	202602	1	677.864427114577
11110-2334	12.0	202110	1	811.2582781456954
11110-2334	12.0	202202	1	791.007493755204
11110-2334	12.0	202203	1	791.007493755204
11110-2334	12.0	202204	1	827.8145695364238
11110-2334	12.0	202209	1	807.6602830974189
11110-2334	12.0	202310	1	736.7549668874173
11110-2334	12.0	202311	1	868.4863523573201
11110-2334	12.0	202312	2	844.0148116499324
11110-2334	12.0	202406	1	749.3755203996669
11110-2334	12.0	202410	1	732.7227310574522
11110-2334	12.0	202501	1	774.3547044129892
11110-2334	12.0	202503	1	711.9205298013245
11110-2334	12.0	202504	1	727.8742762613731
11110-2334	12.0	202508	1	749.3755203996669
11110-2334	12.0	202510	1	868.4863523573201
11110-2334	12.0	202602	1	752.6881720430108
11110-2336	18.0	202302	1	673.7193763919821
11110-2336	18.0	202305	1	701.5590200445434
11110-2336	18.0	202408	1	712.6948775055679
11110-2336	18.0	202503	1	669.2693809258227
11110-2336	18.0	202512	1	712.6948775055679
11110-2336	18.0	202604	1	557.7244841048522
11110-2339	18.0	202112	1	729.8860254898658
11110-2339	18.0	202203	1	729.8860254898658
11110-2339	18.0	202206	1	729.8860254898658
11110-2339	18.0	202207	5	693.5169012637418
11110-2339	18.0	202208	2	721.9212319904334
11110-2339	18.0	202210	1	752.3440570434002
11110-2339	18.0	202211	1	724.2715176014823
11110-2339	18.0	202303	1	667.8310901058255
