aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11350-133	한진한화그랑빌	노원구	NAME	23.0	25.0	-2.0	3003.0	2002.0	2002.0	한진한화그랑빌	1717	11350100002605
11650-373	현대멤피스	서초구	MIXED	3.0	5.0	-2.0	206.0	2001.0	2001.0	현대멤피스	78	11650100003045
11650-101	대우아이빌	서초구	LOW	1.0	3.0	-2.0	168.0	2001.0	2001.0	대우아이빌	113	11650100002770
11620-69	현대	관악구	HIGH	3.0	5.0	-2.0	336.0	1991.0	1991.0	현대	116	11620100002178
11680-301	목련타운	강남구	NAME	6.0	8.0	-2.0	650.0	1993.0	1993.0	목련타운	290	11680100001466
11350-36	상계주공2(고층)	노원구	NAME	5.0	7.0	-2.0	222.0	1987.0	1987.0	상계주공2(저층)	1322	11350100050453
11650-4675	신반포자이	서초구	NAME	5.0	7.0	-2.0	607.0	2018.0	2018.0	신반포자이	460	11650120381954
11305-5548	칸타빌수유팰리스	강북구	MIXED	2.0	4.0	-2.0	216.0	2022.0	2022.0	칸타빌수유팰리스	140	11305120438040
11230-21	동아	동대문구	MIXED	5.0	7.0	-2.0	741.0	2001.0	2001.0	동아	331	11230100000168
11710-130	현대(2-4차)	송파구	HIGH	19.0	21.0	-2.0	1316.0	1984.0	1984.0	현대(2-4차)	635	11710100002329
11710-13	씨티극동1	송파구	NAME	1.0	3.0	-2.0	442.0	1998.0	1998.0	씨티극동1	302	11710100002211
11230-2159	롯데캐슬피렌체	동대문구	LOW	2.0	4.0	-2.0	435.0	2009.0	2009.0	롯데캐슬피렌체	249	11230120115856
11230-213	이수브라운스톤	동대문구	LOW	2.0	4.0	-2.0	299.0	2005.0	2005.0	이수브라운스톤	104	11230100448265
11200-3114	옥수파크힐스101동~116동	성동구	MIXED	14.0	16.0	-2.0	1218.0	2016.0	2016.0	옥수파크힐스101동~116동	1096	11200120344415
11710-6276	송파파인타운5단지	송파구	NAME	4.0	6.0	-2.0	455.0	2008.0	2008.0	송파파인타운5단지	235	11710120101352
11710-6284	잠실더샵스타파크	송파구	LOW	1.0	3.0	-2.0	213.0	2008.0	2008.0	잠실더샵스타파크	78	11710120101678
11290-3379	아이파크종암동2차	성북구	MIXED	13.0	15.0	-2.0	782.0	2005.0	2005.0	아이파크종암동2차	294	11290120008061
11260-232	우남푸르미아	중랑구	HIGH	1.0	3.0	-2.0	153.0	2005.0	2005.0	우남푸르미아	47	11260100448287
11200-3161	이편한세상금호파크힐스	성동구	NAME	14.0	16.0	-2.0	1193.0	2019.0	2019.0	e편한세상신금호파크힐스	1332	11200120361159
11710-110	코오롱아파트	송파구	NAME	4.0	6.0	-2.0	758.0	1991.0	1991.0	코오롱아파트	417	11710100002308
11650-517	서초동아이파크	서초구	HIGH	1.0	3.0	-2.0	115.0	2003.0	2003.0	서초동아이파크	36	11650100051055
11650-523	서초래미안	서초구	MIXED	11.0	13.0	-2.0	1129.0	2003.0	2003.0	서초래미안	472	11650100051132
11650-4969	서초그랑자이	서초구	MIXED	7.0	9.0	-2.0	1446.0	2021.0	2021.0	서초그랑자이	594	11650120432207
11290-4257	정릉꿈에그린	성북구	NAME	6.0	8.0	-2.0	349.0	2015.0	2015.0	정릉꿈에그린	156	11290120324259
