apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11140-1520	LOW			6.58		69.4	79.2				
11140-1520	MID			8.08		22.2	89.0				
11140-1534	HIGH			7.0		32.65	89.25				
11140-1534	LOW			6.705		61.85	82.44999999999999				
11140-1534	MID			6.79		42.35	84.6				
11140-16	HIGH			7.75		18.1	102.0				
11140-16	LOW			7.58		45.8	78.4				
11140-16	MID			7.75		33.3	84.8				
11140-19	HIGH			8.08		4.2	105.3				
11140-19	LOW			6.5		29.2	85.9				
11140-19	MID			8.08		11.1	91.0				
11140-2	HIGH			6.33		66.7	67.6				
11140-2	LOW			5.83		69.4	65.3				
11140-2	MID			6.0		69.4	66.0				
11140-23	HIGH			5.08		48.6	76.4				
11140-23	LOW			2.08		58.3	67.1				
11140-23	MID			4.17		56.9	70.9				
11140-24	HIGH			6.75		36.1	87.5				
11140-24	LOW			6.5		50.0	85.2				
11140-24	MID			6.58		47.2	86.1				
11140-26	HIGH			2.08		36.1	84.4				
11140-26	LOW			1.92		48.6	61.8				
11140-26	MID			1.92		38.9	66.4				
11140-28	HIGH			7.58		15.3	89.8				
11140-28	LOW			1.42		84.7	66.0				
11140-28	MID			4.92		72.2	75.9				
11140-307	HIGH			6.0		58.3	67.9				
11140-307	LOW			5.83		65.3	64.7				
11140-307	MID			5.83		65.3	65.7				
11140-32	HIGH			7.83		19.4	97.7				
11140-32	LOW			2.5		76.4	64.2				
11140-32	MID			5.92		73.6	71.9				
11140-33	HIGH			8.08		0.0	93.2				
11140-33	LOW			7.83		40.3	83.0				
11140-33	MID			8.0		23.6	88.3				
11140-34	HIGH			7.625		20.85	95.0				
11140-34	LOW			6.21		49.3	78.9				
11140-34	MID			6.835		42.400000000000006	83.65				
11140-37	HIGH			8.08		10.4	99.55				
11140-37	LOW			2.79		60.4	73.6				
11140-37	MID			6.125		45.150000000000006	80.9				
11140-39	HIGH			7.92		27.8	82.0				
11140-39	LOW			7.83		34.7	80.7				
11140-39	MID			7.83		31.9	81.1				
11140-40	HIGH			7.375		11.1	83.69999999999999				
11140-40	LOW			2.625		89.6	63.8				
11140-40	MID			4.585		83.35	72.65				
11140-5	HIGH			3.83		73.6	74.2				
11140-5	LOW			3.17		75.0	71.2				
11140-5	MID			3.25		75.0	72.2				
11140-51	HIGH			7.54		30.55	83.05				
11140-51	LOW			2.54		74.3	62.7				
11140-51	MID			3.54		67.35	71.35				
11140-52	HIGH			7.25		69.4	58.5				
11140-52	LOW			6.83		88.9	55.0				
11140-52	MID			7.08		83.3	56.3				
11140-54	HIGH			1.67		84.7	66.3				
11140-54	LOW			0.0		93.1	49.3				
11140-54	MID			0.0		91.7	55.6				
11140-56	HIGH			5.045		63.2	61.650000000000006				
11140-56	LOW			4.875		70.15	58.9				
11140-56	MID			5.0		68.75	59.75				
