aptSeq	apt_name	umd_name	jibun	road_nm	road_bon	road_bub	build_year	n_trades	addr_road	addr_jibun	lon	lat	geocode_source	cluster_id	n_dong	cluster_year
11680-4510	강남 더샵 포레스트	수서동	799	광평로34길	00035	00000	2016.0	13	서울 강남구 광평로34길 35	서울 강남구 수서동 799	127.094906024141	37.4821109112761	road	323.0	10.0	2016.0
11680-4515	역삼자이	역삼동	711-3	언주로	00420	00000	2016.0	1	서울 강남구 언주로 420	서울 강남구 역삼동 711-3	127.044168622231	37.500962635548	road	154.0	108.0	2006.0
11680-452	우찬	신사동	550-20	압구정로18길	00014	00012	2004.0	2	서울 강남구 압구정로18길 14-12	서울 강남구 신사동 550-20	127.023846828365	37.5236915419064	road	79.0	3.0	
11680-4542	현대썬앤빌테헤란	대치동	894	삼성로85길	00033	00000	2016.0	3	서울 강남구 삼성로85길 33	서울 강남구 대치동 894	127.054833280473	37.5042894547839	road	201.0	6.0	2004.0
11680-459	프리마빌	역삼동	727-11	역삼로25길	00017	00000	2003.0	2	서울 강남구 역삼로25길 17	서울 강남구 역삼동 727-11	127.039401623806	37.4973345281351	road	116.0	1.0	2023.0
11680-46	상지리츠빌6	청담동	106-1	도산대로85길	00052	00000	2002.0	1	서울 강남구 도산대로85길 52	서울 강남구 청담동 106-1	127.050254039301	37.5277648875234	road	190.0	41.0	1999.0
11680-463	노블카운티	역삼동	794-24	도곡로19길	00013	00000	2003.0	2	서울 강남구 도곡로19길 13	서울 강남구 역삼동 794-24	127.037814671598	37.4925808841498	road	148.0	2.0	2008.5
11680-4637	대치SKVIEW	대치동	1029	삼성로51길	00025	00000	2017.0	1	서울 강남구 삼성로51길 25	서울 강남구 대치동 1029	127.060999811122	37.4959078867351	road	218.0	43.0	2015.0
11680-4643	청담디에브스아파트	청담동	62-6	도산대로92길	00028	00000	2017.0	1	서울 강남구 도산대로92길 28	서울 강남구 청담동 62-6	127.049142140585	37.522871562142	road	187.0	21.0	2003.0
11680-4653	청담린든그로브	청담동	67-1	학동로97길	00051	00000	2017.0	4	서울 강남구 학동로97길 51	서울 강남구 청담동 67-1	127.053165071384	37.5227272811717	road	187.0	21.0	2003.0
11680-4655	프리빌리지	역삼동	723-16	언주로81길	00028	00000	2017.0	1	서울 강남구 언주로81길 28	서울 강남구 역삼동 723-16	127.041306383797	37.4999058900021	road	156.0	1.0	
11680-4667	동원스위트뷰역삼	역삼동	745-13	역삼로19길	00025	00000	2017.0	1	서울 강남구 역삼로19길 25	서울 강남구 역삼동 745-13	127.0372270238	37.4969514046371	road	116.0	1.0	2023.0
11680-467	지고하임(102동)	논현동	44-9	강남대로136길	00040	00000	2003.0	3	서울 강남구 강남대로136길 40	서울 강남구 논현동 44-9	127.023660307349	37.5137322499574	road	74.0	11.0	1997.0
11680-47	신동아	청담동	134-16	학동로105길	00030	00000	1997.0	3	서울 강남구 학동로105길 30	서울 강남구 청담동 134-16	127.058657907046	37.523005343183	road	252.0	1.0	
11680-470	타워팰리스3	도곡동	467-29	언주로30길	00026	00000	2004.0	10	서울 강남구 언주로30길 26	서울 강남구 도곡동 467-29	127.052530150983	37.4877632466167	road	197.0	6.0	2002.0
11680-471	하이페리온	도곡동	968	도곡로4길	00031	00000	2004.0	3	서울 강남구 도곡로4길 31	서울 강남구 도곡동 968	127.034768297935	37.4885895457311	road	106.0	46.0	1995.0
11680-4718	삼성동센트럴아이파크	삼성동	188	삼성로	00629	00000	2018.0	9	서울 강남구 삼성로 629	서울 강남구 삼성동 188	127.051319226082	37.5157864094542	road	207.0	4.0	2018.0
11680-472	아이파크	삼성동	87	영동대로	00640	00000	2004.0	13	서울 강남구 영동대로 640	서울 강남구 삼성동 87	127.059549285144	37.5183982498328	road	249.0	3.0	2004.0
11680-473	동양파라곤	논현동	245	언주로130길	00030	00000	2004.0	2	서울 강남구 언주로130길 30	서울 강남구 논현동 245	127.038268406315	37.5150856927028	road	129.0	9.0	2004.0
11680-4730	더원센트럴	논현동	118-8	학동로53길	00003	00008	2018.0	1	서울 강남구 학동로53길 3-8	서울 강남구 논현동 118-8	127.039685802525	37.5171934833046	road	170.0	1.0	2018.0
11680-474	대우유로카운티	청담동	50-5	도산대로92길	00010	00000	2004.0	5	서울 강남구 도산대로92길 10	서울 강남구 청담동 50-5	127.049765767423	37.5236832844506	road	187.0	21.0	2003.0
11680-4756	라테라스청담	청담동	76-12	학동로81길	00009	00000	2018.0	1	서울 강남구 학동로81길 9	서울 강남구 청담동 76-12	127.050502829756	37.5197305429704	road	211.0	2.0	1984.0
11680-476	대우로얄카운티2	청담동	116-5	도산대로81길	00026	00000	2002.0	1	서울 강남구 도산대로81길 26	서울 강남구 청담동 116-5	127.047564492008	37.5260481510534	road	190.0	41.0	1999.0
11680-4763	이지마루역삼	역삼동	678-27	테헤란로27길	00008	00014	2018.0	2	서울 강남구 테헤란로27길 8-14	서울 강남구 역삼동 678-27	127.039109931509	37.5022361883679	road	158.0	4.0	2015.5
11680-4780	래미안 개포 루체하임	일원동	741	개포로110길	00050	00000	2018.0	21	서울 강남구 개포로110길 50	서울 강남구 일원동 741	127.079624225204	37.4895410084374	road	275.0	36.0	1987.0
11680-4800	래미안블레스티지	개포동	1280	선릉로	00008	00000	2019.0	41	서울 강남구 선릉로 8	서울 강남구 개포동 1280	127.064153382762	37.480057578933	road	195.0	121.0	2019.0
11680-481	한보미도맨션2	대치동	511	삼성로	00150	00000	1985.0	13	서울 강남구 삼성로 150	서울 강남구 대치동 511	127.068564672209	37.4956953356085	road	261.0	2.0	1985.0
11680-485	진흥아마란스	신사동	626-1	언주로157길	00023	00000	2005.0	1	서울 강남구 언주로157길 23	서울 강남구 신사동 626-1	127.031001551796	37.5236826725751	road	134.0	1.0	
11680-4850	디에이치아너힐즈	개포동	1281	삼성로	00011	00000	2019.0	18	서울 강남구 삼성로 11	서울 강남구 개포동 1281	127.067960222798	37.4844402093504	road	256.0	58.0	2019.0
11680-4863	강남웅진베어스빌	역삼동	838-10	도곡로	00113	00000	2019.0	1	서울 강남구 도곡로 113	서울 강남구 역삼동 838-10	127.032835802177	37.4901962349713	road	109.0	1.0	2019.0
11680-4871	BRUNNEN청담	청담동	114-9	도산대로99길	00068	00000	2019.0	1	서울 강남구 도산대로99길 68	서울 강남구 청담동 114-9	127.047777615166	37.5272714455006	road	190.0	41.0	1999.0
11680-490	역삼예명	역삼동	664-5	봉은사로34길	00053	00000	2001.0	1	서울 강남구 봉은사로34길 53	서울 강남구 역삼동 664-5	127.038454718134	37.5049746493555	road			
11680-4909	PH129	청담동	129	압구정로79길	00088	00000	2020.0	1	서울 강남구 압구정로79길 88	서울 강남구 청담동 129	127.054236542629	37.5259558961367	road	190.0	41.0	1999.0
11680-4911	논현아이파크	논현동	225-6	언주로	00615	00000	2020.0	3	서울 강남구 언주로 615	서울 강남구 논현동 225-6	127.036131313142	37.510735597143	road	123.0	6.0	2002.5
11680-4914	에비뉴나인티	청담동	90-13	도산대로59길	00024	00000	2020.0	2	서울 강남구 도산대로59길 24	서울 강남구 청담동 90-13	127.042536331242	37.5251935763865	road			
11680-4929	개포래미안포레스트	개포동	1282	개포로	00264	00000	2020.0	55	서울 강남구 개포로 264	서울 강남구 개포동 1282	127.052228213432	37.4797503513842	road	194.0	56.0	2020.0
11680-493	역삼우정에쉐르2	역삼동	707-18	테헤란로48길	00010	00000	2004.0	3	서울 강남구 테헤란로48길 10	서울 강남구 역삼동 707-18	127.045872920554	37.502652453062	road	154.0	108.0	2006.0
11680-494	우정에쉐르멤버스	역삼동	708-31	선릉로87길	00014	00000	2004.0	1	서울 강남구 선릉로87길 14	서울 강남구 역삼동 708-31	127.048338094575	37.5031158483353	road	154.0	108.0	2006.0
11680-4949	디에이치포레센트	일원동	742	개포로110길	00038	00000	2021.0	3	서울 강남구 개포로110길 38	서울 강남구 일원동 742	127.078179879308	37.4903572045718	road	275.0	36.0	1987.0
11680-4957	시티프라디움더강남201동	역삼동	901	언주로	00555	00000	2021.0	3	서울 강남구 언주로 555	서울 강남구 역삼동 901	127.039367781327	37.5071858657093	road	121.0	7.0	2024.0
