model	term	coefficient_log_price	cluster_robust_se	coefficient_ci95_low	coefficient_ci95_high	p_value	price_change_pct_per_unit	price_change_pct_ci95_low	price_change_pct_ci95_high	physical_feature	interpretation
F_M3_all_physical (train only)	bjd_code_16900.0	-0.014645	0.045671031	-0.10416022	0.074870221	0.74846596	-1.4538283	-9.8919086	7.7744274	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17000.0	-0.11348116	0.054833324	-0.22095447	-0.0060078452	0.038493044	-10.727898	-19.824682	-0.59898341	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17100.0	0.16652974	0.056250089	0.056279568	0.27677992	0.0030711611	18.119867	5.7893396	31.887607	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17300.0	0.33908247	0.057769038	0.22585516	0.45230979	4.3678722e-09	40.36591	25.339411	57.193884	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17400.0	0.072135805	0.16273861	-0.24683188	0.39110349	0.65757641	7.4801298	-21.872797	47.861152	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17500.0	-0.23014479	0.073946435	-0.3750798	-0.085209773	0.0018562473	-20.558143	-31.276557	-8.1680375	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17700.0	0.62408641	0.046642863	0.5326664	0.71550642	7.9035561e-41	86.653992	70.346838	104.52222	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_17900.0	0.45692173	0.042290519	0.37403231	0.53981114	3.2826009e-27	57.920527	45.358412	71.568282	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18000.0	0.53500172	0.046091117	0.44466313	0.62534031	3.7757963e-31	70.745118	55.996461	86.888185	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18100.0	0.043996635	0.063605243	-0.080669642	0.16866291	0.48911697	4.4978839	-7.7501604	18.372105	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18200.0	-0.020863577	0.069668248	-0.15741334	0.11568619	0.76458116	-2.0647439	-14.564915	12.264352	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18300.0	-0.091603411	0.11299796	-0.31307941	0.12987259	0.41755849	-8.7533048	-26.880816	13.86833	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18400.0	-0.24420561	0.064300927	-0.37023543	-0.11817579	0.00014595354	-21.667344	-30.942827	-11.146016	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18600.0	-0.17933531	0.058907603	-0.29479421	-0.063876409	0.0023318435	-16.417441	-25.531518	-6.1879064	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_18700.0	0.05804281	0.065490345	-0.070318267	0.18640389	0.37546644	5.9760363	-6.7902883	20.490881	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_MISSING	-0.10981485	0.043641824	-0.19535283	-0.024276877	0.011860243	-10.399999	-17.745561	-2.3984564	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
I_M3_redevelop (train only)	is_redevelop	0.54360559	0.051267593	0.4431211	0.64409007	2.8765251e-26	72.220524	55.756095	90.42535	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
I_M3_redevelop (train only)	redevelop_stage_advanced	-0.13640516	0.12782929	-0.38695057	0.11414024	0.28593188	-12.751094	-32.087534	12.090931	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
