complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
976267599.0	현대넥서스빌라트	2	2	34	2	1998.5	10.0	논현동	True	True
976267602.0	논현동부센트레빌	4	4	160	4	2003.0	23.0		True	True
976267603.0	아크로힐스논현아파트	4	4	368	4	2014.0	30.0	논현동	True	True
976906287.0	자양호반써밋아파트	2	2	305	2	2021.0	27.0		True	True
979503309.0	도곡동 현대맨션	2	0	0	0			도곡동	False	False
981091457.0	광장현대3단지아파트	2	2	213	2	1990.0	21.0		True	True
981091458.0	광장현대5단지아파트	5	5	509	5	1989.0	19.0		True	True
984871717.0	대청마을	1	0	0	0			일원동	False	False
999895325.0	청담현대빌라	2	2	0	0		17.0	청담동	False	True
999895395.0	청담동 메가마크힐스	2	2	38	2	2010.0	22.0	청담동	True	True
1011006715.0	수서주공1단지아파트	14	14	2560	14	1992.0	15.0	수서동	True	True
1043288103.0	서초현대아파트	2	2	299	2	1999.0	16.0		True	True
1043288109.0	롯데캐슬스파	1	1	58	1	2003.0	15.0		True	True
1043288113.0	월드메르디앙	2	2	37	2	2002.0	12.0		True	True
1043288118.0	두진아파트	1	1	42	1	1995.0	11.0		True	True
1043288120.0	샹보르아파트	1	1	19	1	2002.0	11.0		True	True
