aptSeq	apt_name	umd_name	jibun	build_year	n_trades
11680-4911	논현아이파크	논현동	225-6	2020.0	3
11680-4542	현대썬앤빌테헤란	대치동	894	2016.0	3
11680-467	지고하임(102동)	논현동	44-9	2003.0	3
11680-32	청담동삼성1차(101동)	청담동	33	1997.0	3
11680-337	우성4	도곡동	465	1985.0	3
11680-340	우성캐릭터199	도곡동	467-24	1998.0	3
11680-180	삼성파크	삼성동	126	2001.0	3
11680-664	우림루미아트2	역삼동	706-10	2003.0	3
11680-189	청구아파트	삼성동	78-4	1992.0	3
11680-493	역삼우정에쉐르2	역삼동	707-18	2004.0	3
11680-4957	시티프라디움더강남201동	역삼동	901	2021.0	3
11680-3660	우찬현대(1260-2)	개포동	1260-2	2006.0	2
11680-3645	삼성동신영지웰	삼성동	114-11	2005.0	2
11680-3773	청담3차이-편한세상(301동)	청담동	44-21	2007.0	2
11680-178	석탑아파트101동	삼성동	3-3	1996.0	2
11680-708	대명비발디	도곡동	944-6	2003.0	2
11680-689	대치하나빌	대치동	1015-6	2003.0	2
11680-670	새롬(1164-12)	개포동	1164-12	2000.0	2
11680-371	개포2차현대아파트(220)	개포동	655-2	1988.0	2
11680-124	삼성빌라트	논현동	79-5	1998.0	2
11680-381	한양4	압구정동	486	1978.0	2
11680-384	한양7	압구정동	528	1981.0	2
11680-3843	논현웰스톤	논현동	108	2009.0	2
11680-3705	한화꿈에그린2차	논현동	194-23	2006.0	2
11680-526	아름빌(889-74)	대치동	889-74	2003.0	2
11680-4914	에비뉴나인티	청담동	90-13	2020.0	2
11680-4050	강남서해그랑블	역삼동	796-29	2012.0	2
11680-97	청담매스터빌	청담동	141-1	1994.0	2
11680-567	현대아이리스1	도곡동	944-5	2004.0	2
11680-197	현대아파트101동	삼성동	6	1999.0	2
11680-259	현대휴먼터치빌	역삼동	606-18	1999.0	2
11680-527	대치동우정에쉐르2(890-42)	대치동	890-42	2004.0	2
11680-549	압구정하이츠파크	신사동	632	2004.0	2
11680-5114	펜트힐캐스케이드	논현동	106	2023.0	2
11680-213	세영팔레스타운	대치동	975-20	2002.0	2
11680-463	노블카운티	역삼동	794-24	2003.0	2
11680-435	우성리빙텔	도곡동	467-10	1996.0	2
11680-452	우찬	신사동	550-20	2004.0	2
11680-30	목화	청담동	105-6	1995.0	2
11680-294	현대아파트3	개포동	177	1986.0	2
11680-3958	이산	논현동	194-22	2011.0	2
11680-4763	이지마루역삼	역삼동	678-27	2018.0	2
11680-459	프리마빌	역삼동	727-11	2003.0	2
11680-4202	한양수자인어반게이트	논현동	221-7	2013.0	2
11680-439	은탑리더스카운티	논현동	44-6	2003.0	2
11680-3964	강남신동아파밀리에2단지	세곡동	511	2011.0	2
11680-3965	강남신동아파밀리에1단지	세곡동	508	2011.0	2
11680-351	현대아파트1동~3동	도곡동	961	1994.0	2
