confidence	aptSeq	apt_name	gu	addr_road	n_deals	build_year	reg_year	osm_year_median	year_diff	n_dong	reg_dong	dong_diff	reg_units	n_by_boundary	n_height_imputed	max_levels	max_height_m	mean_dist	dong_dist_max	levels_spread	year_spread	prescreen	dong_list	kakao_map_url	verdict	note
MIXED	11530-36	현대	구로구	서울 구로구 구로중앙로18길 68	208	1988.0	1988.0	2001.0	13.0	2.0	3.0	-1.0	397.0	0.0	0.0	20.0	75.0	89.20965239371371	94.0	7.0	16.0	준공편차16년 과소1동	?:13F:42m | ?:20F:75m	https://map.kakao.com/link/map/현대,37.4968982743691,126.892605959255		
MIXED	11680-194	삼성동한솔아파트	강남구	서울 강남구 학동로64길 7	203	1998.0	1998.0	2003.0	5.0	2.0	2.0	0.0	263.0	1.0	0.0	23.0	70.0	125.38055039898812	233.0	4.0	10.0	준공편차10년	?:19F:52m | 102동:23F:70m	https://map.kakao.com/link/map/삼성동한솔아파트,37.517646688144,127.045436419638		
MIXED	11170-2522	용산시티파크(1단지)	용산구	서울 용산구 서빙고로 35	183	2007.0	2007.0	2007.0	0.0	3.0	3.0	0.0	421.0	1.0	0.0	41.0	145.0	69.06702142762232	158.0	7.0	2.0		101:39F:139m | 102:41F:145m | 101:34F:120m	https://map.kakao.com/link/map/용산시티파크(1단지),37.5247975716804,126.96865238376		
MIXED	11110-2234	종로청계힐스테이트	종로구	서울 종로구 숭인동길 21	151	2009.0	2009.0	2009.0	0.0	6.0	6.0	0.0	288.0	0.0	0.0	20.0	58.0	57.35312009775874	88.0	11.0	14.0	층수편차11F 준공편차14년	104:18F:52m | 105:20F:58m | 101:11F:32m | 106:13F:38m | ?:9F:28m | 103:10F:30m	https://map.kakao.com/link/map/종로청계힐스테이트,37.5757847596495,127.020959405051		
MIXED	11260-32	건영1	중랑구	서울 중랑구 봉화산로48길 62	148	1997.0	1997.0	1994.0	3.0	4.0	4.0	0.0	408.0	0.0	1.0	25.0	68.0	189.8524733664014	245.0	10.0	2.0	층수편차10F	103동:25F:68m | 104동:22F:59m | ?:15F:40m | ?:?F:59m	https://map.kakao.com/link/map/건영1,37.6034753401116,127.093654269252		
MIXED	11170-51	이촌시범	용산구	서울 용산구 이촌로14길 16	103	1970.0	1970.0	2001.0	31.0	9.0	9.0	0.0	190.0	6.0	8.0	22.0	66.0	48.33771236910827	80.0	0.0	0.0		?:?F:66m | ?:?F:66m | ?:?F:66m | ?:?F:66m | ?:?F:66m | ?:?F:66m | ?:?F:66m | ?:?F:66m | 북한강아파트 102동:22F:66m	https://map.kakao.com/link/map/이촌시범,37.527876945344,126.95457321442		
MIXED	11380-7650	응암동금호	은평구	서울 은평구 응암로 318	103	1998.0	1998.0	1998.0	0.0	5.0	5.0	0.0	299.0	0.0	0.0	21.0	59.0	49.61669443863842	73.0	9.0	22.0	층수편차9F 준공편차22년	102:21F:59m | 103:21F:59m | 105:17F:48m | ?:12F:47m | 104:17F:48m	https://map.kakao.com/link/map/응암동금호,37.5994661259867,126.921971643797		
MIXED	11500-8132	등촌제이스카이	강서구	서울 강서구 공항대로 557	99	2021.0	2021.0	2013.0	8.0	2.0	2.0	0.0	78.0	0.0	0.0	15.0	44.0	37.39594136151084	73.0	3.0	16.0	준공편차16년	?:15F:44m | 102동:12F:34m	https://map.kakao.com/link/map/등촌제이스카이,37.5497514673485,126.867867740989		
MIXED	11320-88	동아에코빌	도봉구	서울 도봉구 도봉로180길 6-23	98	2003.0	2003.0	2003.0	0.0	7.0	7.0	0.0	526.0	1.0	6.0	21.0	57.0	68.59256082971172	111.0	0.0	0.0		?:21F:57m | 104동:?F:57m | 103동:?F:57m | 102동:?F:57m | 105동:?F:57m | 101동:?F:57m | 106동:?F:57m	https://map.kakao.com/link/map/동아에코빌,37.6819276903659,127.046998391263		
MIXED	11380-13425	새절역두산위브트레지움	은평구	서울 은평구 증산로17길 53	65	2025.0		1996.0	29.0	6.0				5.0	5.0	17.0	45.0	70.78483604154295	119.0	0.0	0.0		105동:?F:45m | 106동:?F:45m | 103동:?F:45m | 104동:?F:45m | 신성수정아파트:17F:45m | 102동:?F:45m	https://map.kakao.com/link/map/새절역두산위브트레지움,37.5916790662009,126.906509070152		
