osm_id	building_type	name	truth_id	truth_name	cluster_id
656644029	apartments	111동	656644026.0	강남효성해링턴코트아파트	691
656644030	apartments	107동	656644026.0	강남효성해링턴코트아파트	691
656644031	apartments	102동	656644026.0	강남효성해링턴코트아파트	691
656644032	apartments	101동	656644026.0	강남효성해링턴코트아파트	691
656644033	apartments	103동	656644026.0	강남효성해링턴코트아파트	691
656644034	apartments	104동	656644026.0	강남효성해링턴코트아파트	691
656644035	apartments	105동	656644026.0	강남효성해링턴코트아파트	691
656644036	apartments	106동	656644026.0	강남효성해링턴코트아파트	691
658696626	apartments		327205928.0	아크로비스타	16
663489464	apartments	6동	1077632500.0	청담삼성진흥아파트	420
663489465	apartments	5동	1077632500.0	청담삼성진흥아파트	420
663489466	apartments	3동	614498549.0	청담삼성진흥아파트	417
663489467	apartments	2동	614498549.0	청담삼성진흥아파트	417
663489468	apartments	1동	614498549.0	청담삼성진흥아파트	418
663489469	apartments	105동	614498548.0	래미안라클래시아파트	370
663489472	apartments	107동	614498548.0	래미안라클래시아파트	370
663489473	apartments	102동	471571215.0	삼성동롯데아파트	370
663489474	apartments	103동	471571215.0	삼성동롯데아파트	370
663489475	apartments	101동	471571215.0	삼성동롯데아파트	370
663489476	apartments	112동	471333765.0	삼성동힐스테이트1차아파트	370
663489477	apartments	113동	471333765.0	삼성동힐스테이트1차아파트	370
663489478	apartments	111동	471333765.0	삼성동힐스테이트1차아파트	370
663489479	apartments	110동	471333765.0	삼성동힐스테이트1차아파트	370
663489480	apartments	101동	471333765.0	삼성동힐스테이트1차아파트	370
663489481	apartments	102동	471333765.0	삼성동힐스테이트1차아파트	370
663489482	apartments	103동	471333765.0	삼성동힐스테이트1차아파트	370
663489483	apartments	104동	471333765.0	삼성동힐스테이트1차아파트	370
663489484	apartments	105동	471333765.0	삼성동힐스테이트1차아파트	370
663489485	apartments	106동	471333765.0	삼성동힐스테이트1차아파트	370
663489486	apartments	117동	471333765.0	삼성동힐스테이트1차아파트	370
663489487	apartments	109동	471333765.0	삼성동힐스테이트1차아파트	370
663489488	apartments	114동	471333765.0	삼성동힐스테이트1차아파트	370
663489491	apartments	108동	471333765.0	삼성동힐스테이트1차아파트	370
663489492	apartments	107동	471333765.0	삼성동힐스테이트1차아파트	370
663489494	apartments	302동	475032127.0	센트럴아이파크아파트	413
663489495	apartments	303동	475032127.0	센트럴아이파크아파트	413
663489498	apartments	301동	475032127.0	센트럴아이파크아파트	413
