aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11380-155	회림	은평구	LOW	946002851	회림아파트	회림아파트			1.9409832475880464	nearest
11380-10762	세민하이파크	은평구	LOW	981579866	세민하이파크아파트	세민하이파크아파트	14.0	42.0	1.0709371279098951	nearest
11380-232	명진(200-115)	은평구	LOW	981579884	호림트윈타워2차	호림트윈타워2차	10.0	28.0	91.78762936261838	nearest
11380-81	성현	은평구	LOW	981579885	호림트윈타워1차	호림트윈타워1차	10.0	28.0	132.80243393099394	nearest
11560-1608	삼익플라주	영등포구	LOW	993596897	당산삼익플라주아파트	당산삼익플라주아파트	19.0	57.0	3.3690912520830687	nearest
11410-62	중앙하이츠	서대문구	LOW	998683441	중앙하이츠아파트	중앙하이츠아파트	16.0	45.46	26.057390163615167	nearest
11410-5006	(72-31)	서대문구	LOW	1011655822	59	59	20.0	67.0	6.348464592738115	nearest
11470-5595	목동에버하임	양천구	LOW	1037301806	목동에버하임	목동에버하임	11.0	36.0	2.752060275727948	nearest
11380-235	구암	은평구	LOW	1054126865	구암아파트	구암아파트	10.0	26.0	14.40896130959343	nearest
11380-151	신현	은평구	LOW	1054126870	신현아파트	신현아파트			2.605004186598365	nearest
11380-69	신성수정	은평구	HIGH	1054396640	신성수정아파트	신성수정아파트	17.0	45.0	19.77927940606508	boundary
11380-153	명진(348-7)	은평구	LOW	1054720144	명진아파트	명진아파트			1.6059636941446307	nearest
11380-272	뉴월드	은평구	LOW	1054720145	명진트윈빌아파트	명진트윈빌아파트			225.1923577995489	nearest
11380-64	경남	은평구	LOW	1054720146	경남아파트	경남아파트	11.0	31.0	3.650019952357314	nearest
11380-119	선정(348-12)	은평구	LOW	1054720147	선정아파트	선정아파트			3.1879590543349163	nearest
11380-9770	양지파크	은평구	LOW	1055077187	신사샬렛스위스아파트	신사샬렛스위스아파트			76.0067765716745	nearest
11380-9946	미래하임(아파트)	은평구	LOW	1055585276	미래하임 C동	미래하임C			1.7871530320085354	nearest
11380-9394	예성그린	은평구	LOW	1055585291	예성그린아파트	예성그린아파트			2.322032725086536	nearest
11380-10996	벨로스아파트	은평구	LOW	1055585292	벨로스아파트	벨로스아파트			2.0626018302135334	nearest
11380-88	DMC월드	은평구	LOW	1057601075	DMC월드아파트	DMC월드아파트	18.0	51.0	10.261483488115417	nearest
11380-74	형진	은평구	HIGH	1062228784	101동	101	12.0	39.0	6.014650020098417	boundary
11560-4	동남	영등포구	LOW	1106887541	동남아파트	동남아파트	9.0	25.2	2.954040349316504	nearest
11380-9198	개성팰리스	은평구	LOW	1111516169	109동	109	8.0	22.0	45.59669396366509	nearest
11380-226	두성아파트	은평구	LOW	1111516170	108동	108	17.0	45.0	99.27781337428418	nearest
11440-8	신공덕래미안2차	마포구	LOW	1112870096	마포에스테반	마포에스테반	17.0	54.0	286.56474537461736	nearest
11380-242	월드메르시안(179-8)	은평구	LOW	1115682514	303동	303	27.0	77.0	74.5315339293824	nearest
11380-241	청운	은평구	LOW	1115682515	304동	304	27.0	76.0	70.1303636502532	nearest
11380-267	대주파크빌	은평구	HIGH	1115690633	101	101	14.0	37.0	3.907317959397271	boundary
11380-76	유한베스트빌	은평구	LOW	1118894508	가	가			259.15188602477554	nearest
11380-234	덕산	은평구	LOW	1118894509	다	다			86.3521030433602	nearest
11380-77	연세	은평구	LOW	1118894510	나	나			211.69231163220985	nearest
11380-118	임탑(364)101동	은평구	LOW	1118894511	라	라			162.072462919352	nearest
11380-227	임탑(12-1)100동	은평구	LOW	1118894512	마	마			76.45638158744198	nearest
11410-3865	명가	서대문구	LOW	1125028419	디에이원파크 오피스텔	디에이원파크오피스텔	14.0	42.0	106.80536194676814	nearest
11410-4920	DMC금호리첸시아	서대문구	LOW	1132398555	DMC금호리첸시아	DMC금호리첸시아	29.0	81.19999999999999	65.93564919247767	nearest
11410-41	신원	서대문구	LOW	1134029410	신원아파트	신원아파트			3.660548635100128	nearest
11380-7756	새천년3차드림	은평구	LOW	1147544588	구산주택	구산주택	19.0	60.0	63.511014228385264	nearest
11560-95	성원	영등포구	HIGH	1168349055	101동	101	19.0	58.0	9.415500575212032	boundary
11560-95	성원	영등포구	HIGH	1168349056	102동	102	19.0	58.0	85.38492182194017	boundary
11380-174	대호아파트	은평구	LOW	1183303171	대호아파트	대호아파트	16.0	48.0	19.826631225727663	nearest
11380-10903	불광롯데캐슬	은평구	MIXED	1183303172	우석빌라	우석빌라		51.0	158.23798395184363	nearest
11380-142	월드그린	은평구	LOW	1183303173	월드그리아파트	월드그리아파트			7.644146267521956	nearest
11410-173	한인트윈빌	서대문구	LOW	1254904480	한인트원빌아파트	한인트원빌아파트	15.0	44.0	2.9455557092435227	nearest
11560-2391	브라이튼여의도	영등포구	LOW	1267509203	102동	102	49.0	169.0	81.52295076743923	nearest
11560-2391	브라이튼여의도	영등포구	LOW	1267509204	101동	101	49.0	166.0	86.7214980731974	nearest
11500-10	리버펠리스3동	강서구	HIGH	1281364800	103	103	12.0	35.0	1.7973904385848944	boundary
11500-9	리버펠리스1동	강서구	HIGH	1281364801	101	101	15.0	43.0	3.859327956379498	boundary
11500-12	리버펠리스2동	강서구	HIGH	1281364802	102	102	15.0	43.0	4.708339324514812	boundary
11500-11	리버펠리스4동	강서구	HIGH	1281364807	104	104	12.0	35.0	2.992682073998591	boundary
11380-7832	청솔아파트	은평구	LOW	1289343932	101동	101	19.0	61.0	69.81738382353075	nearest
11380-59	청록	은평구	LOW	1289626868	104동	104	15.0	46.0	130.9818078230255	nearest
11380-335	디안(89-77)	은평구	LOW	1289633011	101동	101	21.0	60.0	67.39400946868707	nearest
11380-19	선우아파트	은평구	LOW	1317388189	하나세인트빌	하나세인트빌			99.92830222850048	nearest
11380-11377	거성리젠시	은평구	LOW	1383765262	거성리젠시오피스텔	거성리젠시오피스텔	10.0	32.0	1.4853819041145886	nearest
11500-49	우성	강서구	LOW	1386053223	101	101	14.0	39.2	0.4045523242226405	nearest
11440-8	신공덕래미안2차	마포구	LOW	1408213199	갑을명가시티2 오피스텔	갑을명가시티2오피스텔	19.0	59.0	157.93018315640404	nearest
11440-4213	뉴마인	마포구	LOW	1408213202	뉴마인아파트	뉴마인아파트	7.0	19.6	3.087815495840683	nearest
11440-8	신공덕래미안2차	마포구	LOW	1418904316	공덕코어	공덕코어	16.0	58.0	272.7444935383448	nearest
11440-5440	공덕프로포즈Ⅱ	마포구	LOW	1418904354	공덕프로포즈II	공덕프로포즈II	17.0	57.0	3.740408802671559	nearest
11560-138	당산삼성래미안4차	영등포구	HIGH	1420306905	삼성 상가	삼성상가		73.0	192.12287525344968	boundary
11410-146	그린빌	서대문구	LOW	1420694228	예뜰안아파트	예뜰안아파트			49.07933376260205	nearest
11560-2123	당산센트럴아이파크	영등포구	HIGH	1420882055	아이파크 상가	아이파크상가		83.0	104.54849204236832	boundary
11440-4492	마포트라팰리스2차	마포구	LOW	1432340942	마포트라펠리스2차	마포트라펠리스2차	22.0	69.0	4.965872143503261	nearest
11440-37	현대벤처빌	마포구	LOW	1436170989	29	29	20.0	88.0	201.1028710562458	nearest
11440-8	신공덕래미안2차	마포구	LOW	1445381680	공덕헤리지움	공덕헤리지움	18.0	59.0	271.91077344018646	nearest
11380-68	삼부	은평구	LOW	1461530276	삼부아파트	삼부아파트	16.0	46.0	10.277365107739506	nearest
11380-270	우공101동	은평구	LOW	1463042881	3	3	5.0	14.0	65.68172392878675	nearest
11380-121	뉴서울(277-2)	은평구	HIGH	1463042882	2	2	7.0	19.6	3.9080111487590674	boundary
11380-122	뉴서울(277-19)	은평구	HIGH	1463042883	1	1	7.0	19.6	1.0638944712316716	boundary
