aptSeq	floor_band	river_view	park_view	mountain_view	open_span_max
11470-319	HIGH	False	True		175.0
11470-85	LOW	False	True		70.0
11470-85	MID	False	True		90.0
11470-85	HIGH	False	True		190.0
11470-243	LOW	False	False		55.0
11470-243	MID	False	False		65.0
11470-243	HIGH	False	False		65.0
11470-185	LOW	False	True		85.0
11470-185	MID	False	True		140.0
11470-185	HIGH	False	True		205.0
11470-5318	LOW	False	True	True	180.0
11470-5318	MID	False	True	True	180.0
11470-5318	HIGH	False	True		290.0
11530-668	LOW	False	True	True	180.0
11530-668	MID	False	True	True	355.0
11530-668	HIGH	False	True	True	360.0
11530-191	LOW	False	True	True	107.5
11530-191	MID	False	True	True	135.0
11530-191	HIGH	False	True	True	215.0
11530-3148	LOW	False	True	True	115.0
11530-3148	MID	False	True	True	137.5
11530-3148	HIGH	False	True	True	300.0
11530-98	LOW	False	True	True	177.5
11530-98	MID	False	True	True	325.0
11530-98	HIGH	False	True	True	360.0
11530-76	LOW	False	True		125.0
11530-76	MID	False	True	True	135.0
11530-76	HIGH	False	True	True	285.0
11530-3689	LOW	False	True		90.0
11530-3689	MID	False	True		90.0
11530-3689	HIGH	False	True		90.0
11470-5757	LOW	False	True		55.0
11470-5757	MID	False	True		125.0
11470-5757	HIGH	False	True		210.0
11530-123	LOW	False	True	True	310.0
11530-123	MID	False	True	True	310.0
11530-123	HIGH	False	True	True	310.0
11530-3565	LOW	False	True	True	240.0
11530-3565	MID	False	True	True	240.0
11530-3565	HIGH	False	True	True	240.0
11530-113	LOW	False	True	True	345.0
11530-113	MID	False	True	True	345.0
11530-113	HIGH	False	True	True	345.0
11530-165	LOW	False	True	True	335.0
11530-165	MID	False	True	True	340.0
11530-165	HIGH	False	True	True	340.0
11530-3149	LOW	False	True	True	330.0
11530-3149	MID	False	True	True	330.0
11530-3149	HIGH	False	True	True	337.5
11530-3311	LOW	False	True	True	330.0
11530-3311	MID	False	True	True	335.0
11530-3311	HIGH	False	True	True	340.0
11530-3264	LOW	False	True	True	335.0
11530-3264	MID	False	True	True	335.0
11530-3264	HIGH	False	True	True	340.0
11530-3263	LOW	False	True	True	335.0
11530-3263	MID	False	True	True	335.0
11530-3263	HIGH	False	True	True	345.0
11530-4593	LOW	False	True		130.0
11530-4593	MID	False	True		195.0
11530-4593	HIGH	False	True		215.0
11530-242	LOW	False	True	True	155.0
11530-242	MID	False	True	True	185.0
11530-242	HIGH	False	True		315.0
11470-236	LOW	False	True		65.0
11470-236	MID	False	True		110.0
11470-236	HIGH	False	True		335.0
11470-186	LOW	False	False		35.0
11470-186	MID	False	False		95.0
11470-186	HIGH	False	False		250.0
11530-4285	LOW	False	True		145.0
11530-4285	MID	False	True		145.0
11530-4285	HIGH	False	True		195.0
11530-3385	LOW	False	True		40.0
11530-3385	MID	False	True		115.0
11530-3385	HIGH	False	True		320.0
11530-179	LOW	False	False		60.0
11530-179	MID	False	False		60.0
11530-179	HIGH	False	False		60.0
11530-4660	LOW	False	True		120.0
11530-4660	MID	False	True		145.0
11530-4660	HIGH	False	True		205.0
11530-4683	LOW	False	True		50.0
11530-4683	MID	False	True		90.0
11530-4683	HIGH	False	True		210.0
11530-95	LOW	False	True	True	120.0
11530-95	MID	False	True	True	125.0
11530-95	HIGH	False	True		320.0
11530-3798	LOW	False	True	True	122.5
11530-3798	MID	False	True	True	160.0
11530-3798	HIGH	False	True		170.0
11470-77	LOW	False	True		85.0
11470-77	MID	False	True		95.0
11470-77	HIGH	False	True		95.0
11470-361	LOW	False	False		40.0
11470-361	MID	False	True		130.0
11470-361	HIGH	False	True		280.0
11470-317	LOW	False	True		60.0
11470-317	MID	False	True		60.0
11470-317	HIGH	False	True		100.0
11470-316	LOW	False	True		30.0
11470-316	MID	False	True		30.0
11470-316	HIGH	False	True		120.0
11470-318	LOW	False	True		75.0
11470-318	MID	False	True		75.0
11470-318	HIGH	False	True		225.0
11470-5630	LOW	False	False		35.0
11470-5630	MID	False	True		100.0
11470-5630	HIGH	False	True		170.0
11470-5629	LOW	False	True		32.5
11470-5629	MID	False	True		60.0
11470-5629	HIGH	False	True		130.0
11470-327	LOW	False	True		165.0
11470-327	MID	False	True		170.0
11470-327	HIGH	False	True		175.0
11470-325	LOW	False	True		55.0
11470-325	MID	False	True		60.0
11470-325	HIGH	False	True		170.0
11470-328	LOW	False	True		110.0
11470-328	MID	False	True		135.0
11470-328	HIGH	False	True		165.0
11470-315	LOW	False	True		60.0
11470-315	MID	False	True		60.0
11470-315	HIGH	False	True		305.0
11470-313	LOW	False	True		50.0
11470-313	MID	False	True		130.0
11470-313	HIGH	False	True		330.0
11470-109	LOW	False	True		160.0
11470-109	MID	False	True		235.0
11470-109	HIGH	False	True		280.0
11470-337	LOW	False	True		47.5
11470-337	MID	False	True		77.5
11470-337	HIGH	False	True		100.0
11470-4614	LOW	False	True		60.0
11470-4614	MID	False	True		135.0
11470-4614	HIGH	False	True		330.0
11470-4028	LOW	False	True		45.0
11470-4028	MID	False	True		165.0
11470-4028	HIGH	False	True		345.0
11470-199	LOW	False	True		65.0
11470-199	MID	False	True		155.0
11470-199	HIGH	False	True		360.0
11470-336	LOW	False	True		60.0
11470-336	MID	False	True		100.0
11470-336	HIGH	False	True		280.0
11470-81	LOW	False	False		35.0
11470-81	MID	False	False		85.0
11470-81	HIGH	False	False		185.0
11470-66	LOW	False	False		25.0
11470-66	MID	False	False		50.0
11470-66	HIGH	False	False		170.0
11470-3959	LOW	False	False		45.0
11470-3959	MID	False	False		280.0
11470-3959	HIGH	False	False		360.0
11530-3900	LOW	False	True		230.0
11530-3900	MID	False	True		230.0
11530-3900	HIGH	False	True		230.0
11530-3496	LOW	False	True	True	125.0
11530-3496	MID	False	True	True	190.0
11530-3496	HIGH	False	True	True	340.0
11620-2044	LOW	False	False	True	90.0
11620-2044	MID	False	False	True	165.0
11620-2044	HIGH	False	True	True	215.0
11590-3412	LOW	True	True	True	60.0
11590-3412	MID	True	True	True	87.5
11590-3412	HIGH	True	True	True	152.5
11620-4341	LOW	False	True	True	72.5
11620-4341	MID	False	True	True	120.0
11620-4341	HIGH	False	True	True	300.0
11620-4344	LOW	False	True	True	80.0
11620-4344	MID	False	True	True	115.0
11620-4344	HIGH	False	True	True	245.0
11620-4572	LOW	False	True	True	145.0
11620-4572	MID	False	True	True	150.0
11620-4572	HIGH	False	True	True	360.0
11620-4570	LOW	False	True	True	220.0
11620-4570	MID	False	True	True	220.0
11620-4570	HIGH	False	True	True	360.0
11530-89	LOW	False	True		17.5
11530-89	MID	False	True		37.5
11530-89	HIGH	False	True		97.5
11530-69	LOW	False	True	True	60.0
11530-69	MID	False	True	True	85.0
11530-69	HIGH	False	True	True	140.0
11530-92	LOW	False	True	True	60.0
11530-92	MID	False	True	True	125.0
11530-92	HIGH	False	True	True	165.0
11530-236	LOW	False	True		85.0
11530-236	MID	False	True		85.0
11530-236	HIGH	False	True		125.0
11530-81	LOW	False	False		37.5
11530-81	MID	False	False		70.0
11530-81	HIGH	False	True		257.5
11530-57	LOW	False	True	False	115.0
11530-57	MID	False	True	False	120.0
11530-57	HIGH	False	True	False	250.0
11530-62	LOW	False	True	False	195.0
11530-62	MID	False	True	False	210.0
11530-62	HIGH	False	True	False	320.0
11530-63	LOW	False	True		37.5
11530-63	MID	False	True		62.5
11530-63	HIGH	False	True		100.0
11530-52	LOW	False	True	False	67.5
11530-52	MID	False	True	False	192.5
11530-52	HIGH	False	True	False	320.0
11530-3459	LOW	False	True		75.0
11530-3459	MID	False	True		105.0
11530-3459	HIGH	False	True		155.0
11530-3323	LOW	False	True		80.0
11530-3323	MID	False	True		122.5
11530-3323	HIGH	False	True		357.5
11530-58	LOW	False	True		30.0
11530-58	MID	False	True		45.0
11530-58	HIGH	False	True		105.0
11470-4443	LOW	False	True	False	32.5
11470-4443	MID	False	True	False	60.0
11470-4443	HIGH	False	True	False	202.5
11530-48	LOW	False	False		50.0
11530-48	MID	False	False		80.0
11530-48	HIGH	False	True		300.0
11530-3386	LOW	False	False		20.0
11530-3386	MID	False	False		75.0
11530-3386	HIGH	False	True		195.0
11470-4015	LOW	False	True		35.0
11470-4015	MID	False	True		50.0
11470-4015	HIGH	False	True		145.0
11470-3986	LOW	False	True	False	70.0
11470-3986	MID	False	True	False	70.0
11470-3986	HIGH	False	True	False	200.0
11470-126	LOW	False	True		40.0
11470-126	MID	False	True		90.0
11470-126	HIGH	False	True		140.0
11620-4567	LOW	False	True	True	55.0
11620-4567	MID	False	True	True	55.0
11620-4567	HIGH	False	True	True	130.0
11620-4568	LOW	False	True	True	125.0
11620-4568	MID	False	True	True	130.0
11620-4568	HIGH	False	True	True	360.0
11620-4571	LOW	False	True	True	215.0
11620-4571	MID	False	True	True	215.0
11620-4571	HIGH	False	True	True	360.0
11620-4569	LOW	False	True	True	140.0
11620-4569	MID	False	True	True	140.0
11620-4569	HIGH	False	True	True	360.0
11620-9	LOW	False	False	True	77.5
11620-9	MID	False	False	True	115.0
11620-9	HIGH	False	True	True	180.0
11620-4533	LOW	False	False	True	90.0
11620-4533	MID	False	True	True	145.0
11620-4533	HIGH	False	True	True	205.0
11530-61	LOW	False	True		27.5
11530-61	MID	False	True		32.5
11530-61	HIGH	False	True		102.5
11530-67	LOW	False	False		40.0
11530-67	MID	False	False		65.0
11530-67	HIGH	False	False		95.0
11470-3984	LOW	False	True		50.0
11470-3984	MID	False	True		67.5
11470-3984	HIGH	False	True		360.0
11470-5547	LOW	False	True		125.0
11470-5547	MID	False	True		127.5
11470-5547	HIGH	False	True		170.0
11470-172	LOW	False	True		95.0
11470-172	MID	False	True		122.5
11470-172	HIGH	False	True		230.0
11530-26	LOW	False	True	False	130.0
11530-26	MID	False	True	False	142.5
11530-26	HIGH	False	True	False	207.5
11530-133	LOW	False	True	False	110.0
11530-133	MID	False	True	False	110.0
11530-133	HIGH	False	True	False	250.0
11530-129	LOW	False	True	False	90.0
11530-129	MID	False	True	False	130.0
11530-129	HIGH	False	True	False	230.0
11530-127	LOW	False	True	False	40.0
11530-127	MID	False	True	False	55.0
11530-127	HIGH	False	True	False	215.0
11530-128	LOW	False	True	False	55.0
11530-128	MID	False	True	False	70.0
11530-128	HIGH	False	True	False	132.5
11530-151	LOW	False	False	False	7.5
11530-151	MID	False	False	False	85.0
11530-151	HIGH	False	False	False	85.0
11530-39	LOW	False	True	False	75.0
